division,average_distance,crime_count
77TH STREET,2.661302632669427,10123
SOUTHEAST,2.1016176899231316,8921
SOUTHWEST,2.7007557001501876,8623
NEWTON,2.00444284446561,6972
HOLLENBECK,2.6489972790526073,6100
HARBOR,4.079479650843425,5428
RAMPART,1.577304070976699,4990
CENTRAL,1.1360874348576455,3469
HOLLYWOOD,1.4519702485332784,3268
MISSION,4.696967346132304,3084
OLYMPIC,1.8354079508081123,3047
NORTHEAST,3.895878465626484,2730
WILSHIRE,2.3263709350913637,2617
FOOTHILL,3.7486430046488395,2538
NORTH HOLLYWOOD,2.6968818865271325,2427
PACIFIC,3.7483714068372005,2023
WEST VALLEY,3.452494794739544,1991
VAN NUYS,2.2147655784626914,1957
TOPANGA,3.41008351486434,1590
DEVONSHIRE,3.962621290310503,1565
WEST LOS ANGELES,4.217406558264489,1094
